time,S1_,S2_,C,parameterId_0
0.0,30.0,0.0,1.0,1.0
1.0,29.0,1.0,1.0,2.0
2.0,28.000000000000004,1.9999999999999962,1.0,2.9999999999999964
3.0,27.00000000000004,2.9999999999999623,1.0,3.9999999999999627
4.0,26.000000000000284,3.9999999999997162,1.0,4.999999999999717
5.0,25.000000000001638,4.999999999998364,1.0,5.999999999998364
6.0,24.00000000000441,5.999999999995593,1.0,6.999999999995594
7.0,23.000000000000004,6.999999999999998,1.0,7.999999999999998
8.0,22.00000000000008,7.999999999999917,1.0,8.999999999999917
9.0,21.000000000001336,8.999999999998662,1.0,9.999999999998662
10.0,20.0,10.0,1.0,11.0
