time,P1,P2,P3
0.0,0.0015,0.0,0.001
0.16,0.0014992481884698366,7.518115301633862e-7,0.0074
0.32,0.001495430972832935,4.569027167065223e-6,0.026600000000000002
0.48,0.0014855262819772328,1.4473718022767367e-5,0.05859999999999391
0.64,0.0014666483664749676,3.335163352503258e-5,0.1034
0.8,0.0014361967035620244,6.38032964379758e-5,0.1610000000000001
0.96,0.0013920494811841724,0.00010795051881582778,0.23140000000000008
1.12,0.0013327810508433095,0.0001672189491566907,0.31460000000000016
1.28,0.0012578733045996544,0.0002421266954003458,0.4106
1.44,0.0011678834670978066,0.00033211653290219376,0.5193999999999863
1.6,0.0010645282835269954,0.00043547171647300483,0.640999999999985
1.76,0.0009506497711482634,0.0005493502288517367,0.7753999999999119
1.92,0.0008300420706948997,0.0006699579293051004,0.922600000000012
2.08,0.0007071416884132207,0.0007928583115867794,1.082599999999896
2.24,0.000586610889673325,0.0009133891103266751,1.2553999999998882
2.4,0.0004728699422208974,0.0010271300577791027,1.4409999999999725
2.56,0.0003696509025954276,0.0011303490974045726,1.6393999999999709
2.72,0.0002796474549605764,0.0012203525450394238,1.8505999999999692
2.88,0.00020431938597970822,0.0012956806140202919,2.0745999999999576
3.04,0.0001438793431791684,0.0013561206568208316,2.3113999999999555
3.2,9.745139300606791e-5,0.001402548606993932,2.5609999999999538
3.36,6.335617567947679e-5,0.0014366438243205231,2.8233999999999218
3.52,3.9455878743025754e-5,0.0014605441212569741,3.098599999999918
3.68,2.3489129048122162e-5,0.0014765108709518778,3.3865999999999143
3.84,1.33402847667181e-5,0.0014866597152332819,3.6874000000000122
4.0,7.213015149011922e-6,0.0014927869848509882,4.001000000000013
4.16,3.7053796399567987e-6,0.0014962946203600433,4.327399999999903
4.32,1.8047758244483765e-6,0.0014981952241755515,4.6665999999999
4.48,8.317619921254065e-7,0.0014991682380078744,5.018599999999897
4.64,3.619684304809486e-7,0.0014996380315695187,5.3833999999998285
4.8,1.4843923254977898e-7,0.00149985156076745,5.7609999999998225
4.96,5.7245803174173197e-8,0.0014999427541968256,6.151399999999817
5.12,2.0718872490342116e-8,0.0014999792811275095,6.5545999999998115
5.28,7.023064534143768e-9,0.0014999929769354658,6.970599999999806
5.44,2.225029853443848e-9,0.0014999977749701465,7.399399999999801
5.6,6.575128308859974e-10,0.0014999993424871692,7.840999999999971
5.76,1.8085994465369303e-10,0.0014999998191400556,8.29539999999997
5.92,4.621265194189237e-11,0.0014999999537873483,8.762599999999969
6.08,1.0946374210944486e-11,0.001499999989053626,9.24259999999997
6.24,2.3987288383020117e-12,0.0014999999976012715,9.735399999999968
6.4,4.852930293964994e-13,0.0014999999995147072,10.240999999999968
6.56,9.045853426378662e-14,0.0014999999999095418,10.759399999999937
6.72,1.5503444567775744e-14,0.0014999999999844968,11.290599999999936
6.88,2.4380947619505553e-15,0.001499999999997562,11.834599999999934
7.04,3.5109710900139395e-16,0.001499999999999649,12.391399999999933
7.2,4.620285173552288e-17,0.0014999999999999538,12.960999999999931
7.36,5.544798039816967e-18,0.0014999999999999944,13.54339999999993
7.52,6.056039095809702e-19,0.0014999999999999994,14.13859999999974
7.68,6.00742229160926e-20,0.0015,14.746599999999734
7.84,5.401256158679739e-21,0.0015,15.367399999999728
8.0,4.392573917606354e-22,0.0015,16.000999999999987
