time,k1,P1,S1_,C
0.0,0.0,1.0,1.0,1.0
1.0,0.9999999999999984,2.9999999999983555,1.0999999999999999,1.0
2.0,2.000000000000015,2.9999999999983555,1.2000000000000015,1.0
3.0,2.9999999999987867,2.9999999999983555,1.2999999999998788,1.0
4.0,3.999999999996714,2.9999999999983555,1.3999999999996717,1.0
5.0,4.999999999996491,2.9999999999983555,1.4999999999996492,1.0
6.0,5.999999999996719,2.9999999999983555,1.5999999999996721,1.0
7.0,6.999999999996711,2.9999999999983555,1.6999999999996713,1.0
8.0,7.999999999996654,2.9999999999983555,1.7999999999996656,1.0
9.0,8.999999999995438,2.9999999999983555,1.899999999999544,1.0
10.0,9.999999999996719,2.9999999999983555,1.9999999999996723,1.0
