time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
0.0,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.1,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.2,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.3,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.4,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.5,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.6,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.7,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.8,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
0.9,3.7,1.0,1.0,3.141592653589793,1.0471975511965979,1.5707963267948966,-0.5235987755982989,1.2277723863741932,-1.430676872530533,1.0,4.0,-4.0,-0.9477216021311119,0.9758974493306055,1.0,2.718281828459045,2.159766253784915,-5.0,9.0,-1.6094379124341003,0.0,-0.6989700043360187,0.0,1.0,4.0,5.562281727754396,16.0,9.610000000000001,2.0,2.7202941017470885,0.8632093666488737,0.0,0.373876664830236,0.0,2.014338214476828,0.29100619138474915,3.0,-1.0,2.5,24.0
