time,S0_,S1_,S2_,S3_,S4_,S5_,S6_,S7_,S8_,S9_,S10_,S11_,S12_,S13_,S14_,S15_,S16_,S17_,S18_,S19_,S20_,S21_,S22_,S23_,S24_,S25_,S26_,S27_,S28_,S29_,S30_,S31_,S32_,S33_,S34_,S35_,S36_,S37_,S38_,S39_,S40_,S41_,S42_,S43_,S44_,S45_,S46_,S47_,S48_,S49_,S50_,S51_,C
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,0.9999999999999979,1.0
2.0,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.9999999999989508,1.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
4.0,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,3.9999999999999964,1.0
5.0,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,4.999999999999957,1.0
6.0,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,5.999999999999912,1.0
7.0,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,6.999999999998969,1.0
8.0,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,7.999999999999695,1.0
9.0,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,8.99999999999902,1.0
