time,A1_,A2_,A3_,A4_
0.0,2.0,3.0,4.0,1.0
0.06,1.6841661979467495,2.742401664362499,4.0,0.9417645335842508
0.12,1.4372855345208262,2.5503650978036645,4.0,0.886920436717162
0.18,1.2390228076693945,2.4037525962581223,4.0,0.835270211411272
0.24,1.0764357776051905,2.2898079165386163,4.0,0.7866278610665745
0.3,0.9408831977611335,2.2000649770794154,4.0,0.7408182206817181
0.36,0.8263650467098032,2.128688720638712,4.0,0.697676326071091
0.42,0.7285765830348487,2.071529763219792,4.0,0.6570468198150569
0.48,0.6443420982637817,2.0255587064576197,4.0,0.618783391806162
0.54,0.5712617645562644,1.9885135121822748,4.0,0.5827482523739898
0.6,0.5074835795874063,1.9586719434933781,4.0,0.5488116360940283
0.66,0.4515516184119089,1.9347002839201408,4.0,0.5168513344917682
0.72,0.4023023945744278,1.9155501386144562,4.0,0.4867522559599717
0.78,0.35879243810856376,1.9003864268033357,4.0,0.4584060113052281
0.84,0.32024664811309483,1.8885361246840409,4.0,0.43171052342905414
0.9,0.28602078356133376,1.8794511238207345,4.0,0.40656965974059917
0.96,0.25557376981130725,1.8726808838361937,4.0,0.3828928859751134
1.02,0.22844694280227557,1.8678520026292034,4.0,0.3605949401730721
1.08,0.20424827645867774,1.8646527508137383,4.0,0.3395955256449394
1.14,0.18264024213684496,1.8628212203205412,4.0,0.31981902181630384
1.2,0.16333035083416714,1.8621361389219615,4.0,0.3011942119122057
1.26,0.14606370137919164,1.8624096748794192,4.0,0.28365402649977234
1.32,0.13061704558498669,1.8634817436191355,4.0,0.2671353019658512
1.38,0.11679401272402926,1.8652154596642723,4.0,0.25157855305975696
1.44,0.104421228799449,1.867493470117326,4.0,0.23692775868212299
1.5,0.09334513297716715,1.8702149728287232,4.0,0.2231301601484439
1.56,0.08342934209295713,1.8732932708921617,4.0,0.21013607120079555
1.62,0.07455244981437714,1.8766537507307606,4.0,0.19789869908361657
1.68,0.06660617345018051,1.8802321974107696,4.0,0.18637397603941078
1.74,0.05949378116150257,1.883973380544499,4.0,0.1755204006170037
1.8,0.05312874721825837,1.887829858996668,4.0,0.1652988882215904
1.86,0.047433594249711865,1.8917609638816697,4.0,0.1556726303680423
1.92,0.04233889009248602,1.8957319279621314,4.0,0.14660696213035465
1.98,0.0377823734821614,1.8997131361712658,4.0,0.1380692373108956
2.04,0.03370818798788269,1.9036794771094505,4.0,0.13002871087843237
2.1,0.030066207591400582,1.9076097793384037,4.0,0.12245642825299696
2.16,0.026811440441903107,1.9114863194038356,4.0,0.11532512103806764
2.22,0.023903499779470816,1.9152943909545004,4.0,0.1086091088249707
2.28,0.021306132965596886,1.9190219262500512,4.0,0.10228420671554594
2.34,0.01898680109991631,1.9226591628693936,4.0,0.09632763823052282
2.4,0.01691630292241298,1.9261983496329391,4.0,0.09071795328947399
2.46,0.01506843772123916,1.929633486753846,4.0,0.0854349509673934
2.52,0.013419702730679916,1.932960095981062,4.0,0.08045960674961813
2.58,0.011949021143680646,1.9361750171207426,4.0,0.07577400402293824
2.64,0.010637497436079571,1.9392762278795996,4.0,0.07136126955648006
2.7,0.009468197114489974,1.9422626843746649,4.0,0.06720551273982528
2.76,0.008425948322094376,1.9451341799623831,4.0,0.06329176835971133
2.82,0.007497163120432545,1.947891220411426,4.0,0.05960594270900666
2.88,0.006669676454887967,1.950534913620689,4.0,0.05613476283419906
2.94,0.005932601057431795,1.9530668723190274,4.0,0.05286572873840461
3.0,0.005276196724549811,1.9554891283566276,4.0,0.049787068367922405
